ID,HousePrice,yhat,delta
7857,919497.0,660095.8292030898,259401.17079691018
1641,283680.0,291172.5928522563,-7492.592852256319
3620,135818.0,173423.44896760653,-37605.44896760653
2820,468742.0,399269.9941674969,69472.00583250308
1572,311065.0,387871.8976744394,-76806.89767443942
202,228740.0,199599.66434663473,29140.33565336527
8169,260611.0,294149.42746071354,-33538.427460713545
6212,199843.0,210763.19336557735,-10920.193365577346
6754,273619.0,260660.36348049677,12958.636519503227
5197,334528.0,309828.179946045,24699.820053955016
5170,371797.0,409621.4365806204,-37824.436580620415
3987,129547.0,126308.21093509746,3238.7890649025358
8088,241878.0,193614.67973724817,48263.32026275183
1181,544164.0,505272.19425076334,38891.805749236664
5703,233936.0,250300.11600321278,-16364.116003212781
7979,340244.0,316332.21153602924,23911.788463970763
2546,673459.0,665575.2109783476,7883.789021652425
5831,219892.0,260948.96460502048,-41056.964605020476
2288,136479.0,177314.30509873945,-40835.30509873945
7372,284417.0,270683.91366984445,13733.086330155551
8553,401696.0,311004.0501283289,90691.9498716711
605,400036.0,503152.6954167615,-103116.6954167615
7343,502384.0,454929.57674572855,47454.423254271445
6956,432570.0,462028.55791144486,-29458.557911444863
6787,271336.0,207723.33564535252,63612.66435464748
8790,259581.0,281265.5329844284,-21684.5329844284
8875,368614.0,389508.00520438526,-20894.005204385263
5222,449834.0,449579.89590914024,254.10409085976426
6583,268084.0,250201.17637510793,17882.823624892073
4457,326357.0,411354.8957067188,-84997.89570671879
3798,513051.0,499614.94317275245,13436.05682724755
8692,484256.0,667635.3930067826,-183379.39300678263
9185,391848.0,498864.8079697964,-107016.80796979641
9170,289229.0,303291.15899789054,-14062.15899789054
6922,396836.0,565075.6071645071,-168239.60716450715
1816,299874.0,315968.2239207541,-16094.223920754099
889,453808.0,387020.746331829,66787.253668171
2315,197244.0,197480.94639402645,-236.94639402645407
3837,348815.0,330957.25049742946,17857.749502570543
8611,573658.0,564823.1180158341,8834.88198416587
5917,269948.0,243191.02034798422,26756.979652015783
6719,133645.0,107604.96220975688,26040.03779024312
5994,367737.0,472867.39698972215,-105130.39698972215
9266,252230.0,232565.78253906482,19664.21746093518
4038,104509.0,111352.33941816518,-6843.339418165182
2556,559989.0,427829.0483111798,132159.9516888202
3330,300314.0,334620.33068153716,-34306.33068153716
9027,112586.0,108958.98605681457,3627.013943185433
486,225432.0,228707.27077387233,-3275.2707738723257
5064,421310.0,471089.1725819395,-49779.17258193949
3314,357001.0,320926.553652945,36074.446347055025
3744,204498.0,225107.28937987113,-20609.28937987113
5128,346301.0,347135.0475134988,-834.0475134988083
8075,467567.0,502253.2452823588,-34686.24528235878
1626,722563.0,493618.2380134065,228944.76198659348
5519,547190.0,665244.2744465988,-118054.27444659884
5771,309847.0,311253.8802136886,-1406.8802136885934
1845,361572.0,296648.2949992545,64923.70500074548
3905,173822.0,198678.44712484078,-24856.44712484078
